Frequency_Hz,PSD_Dry_dB_Hz,PSD_Wet_dB_Hz
0.0,-35.474023603279704,-37.81166155909885
2.0,-28.73391783303761,-30.67449629656317
4.0,-26.567413796809554,-28.904326363080667
6.0,-25.93679886062789,-28.07901284035061
8.0,-25.559393092471296,-27.167499382281918
10.0,-25.373433675980493,-26.74744190096282
12.0,-25.467757404827566,-26.74161807411384
14.0,-25.33846451642187,-26.308299245831943
16.0,-25.56958840450455,-26.331765863824685
18.0,-25.939390465885378,-26.527414023420587
20.0,-26.67803078091223,-27.017676765826515
22.0,-27.626390653703318,-27.84528912617936
24.0,-28.739945751510582,-28.90191512774421
26.0,-30.0942378909177,-30.16529173140953
28.0,-31.559320156985468,-31.524129839664383
30.0,-33.18604158170307,-33.030378602760955
32.0,-35.1408612157602,-34.922709028536886
34.0,-37.038172688248004,-36.97397720808154
36.0,-38.777011236734744,-38.73247344686793
38.0,-41.03678241501243,-40.60735531461704
40.0,-44.13975019337463,-43.35045829178072
42.0,-47.161785468007494,-46.460493749582625
44.0,-50.45705083975506,-49.32005472687229
46.0,-55.295824483441734,-52.989412917898015
48.0,-46.6555235484192,-52.557824980426204
50.0,-41.33449808237039,-47.38018756477402
52.0,-47.34245366003481,-53.834684795967846
54.0,-54.55023748088608,-61.896680508311455
56.0,-54.35288433687475,-61.7080548185351
58.0,-54.505066144228955,-62.77271644987759
60.0,-55.100647343495375,-62.82456059984077
62.0,-56.65269636585117,-63.45463973091207
64.0,-58.61232552393675,-66.12499703417024
66.0,-60.0306844031826,-70.51485451246131
68.0,-61.03541979959018,-74.37333403614643
70.0,-61.986016162950406,-74.03777062772052
72.0,-62.17681896606323,-70.34162442705335
74.0,-61.39559954881916,-68.63349893526772
76.0,-61.03582681416864,-68.34633437112416
78.0,-60.96051085832417,-68.51872108526683
80.0,-61.161562799866374,-68.84066064991333
82.0,-61.6612540340492,-69.64060517042594
84.0,-62.23943359932329,-71.4691249209105
86.0,-62.81969825612719,-72.68873754879115
88.0,-63.56234232908222,-73.1442429495547
90.0,-64.10181123127695,-74.44590992982248
92.0,-64.47689692423667,-75.81445106413652
94.0,-64.8954915143932,-75.53368467134446
96.0,-65.50558611387123,-75.62504004733516
98.0,-64.066269503678,-70.7196636364933
100.0,-61.75793800980941,-67.40110877467248
102.0,-65.90570827480023,-73.89053876019643
104.0,-66.71927138735174,-77.52895496390533
106.0,-66.40209031470532,-77.55765076712424
108.0,-67.31010085688332,-78.79695448750594
110.0,-67.89744470843542,-79.91604606284741
112.0,-69.18167532315809,-81.44460864096914
114.0,-70.00806958975049,-82.16586166791403
116.0,-70.44927502800581,-81.87438533651618
118.0,-70.93344462145839,-82.81081939199318
120.0,-71.85668914118035,-82.54574116069796
122.0,-72.3906710749088,-81.67524272689214
124.0,-72.62105793282815,-81.70692445329522
126.0,-73.1379183463197,-82.86282531922899
128.0,-73.9356084507298,-83.98828034914348
130.0,-74.45709391905494,-83.3338250703336
132.0,-75.17135238763115,-82.97260319325832
134.0,-75.57018218921326,-83.84032124291052
136.0,-76.00077898831718,-84.9886955412598
138.0,-76.10338460521663,-85.96865831787247
140.0,-76.39923089152538,-86.7573114992056
142.0,-76.44034454243597,-88.4318703712381
144.0,-76.61545912147503,-89.24450699416006
146.0,-76.68498547850879,-89.68171050895458
148.0,-75.23563173964875,-71.28621657461176
150.0,-73.54571556726614,-67.96585932951257
152.0,-76.74226578623767,-77.0338083752962
154.0,-78.56448000272687,-88.56227818658338
156.0,-79.62624166147114,-88.66707777602224
158.0,-80.60687602184181,-87.4677529145259
160.0,-81.16437403257936,-86.45599876664953
162.0,-82.01692532328808,-86.2229294147196
164.0,-82.42795974240249,-86.80578951799066
166.0,-82.47545535841047,-87.22937025139004
168.0,-82.34139204326493,-87.20217179732077
170.0,-82.45485786997739,-86.81522659670878
172.0,-82.30402281354267,-86.78970022975805
174.0,-82.05166009333213,-87.82506208452719
176.0,-81.87801587214324,-88.72706472601837
178.0,-81.65182168052105,-88.88339539638022
180.0,-81.54052290861975,-89.42210003122449
182.0,-81.63843401254508,-90.0476628012257
184.0,-82.05032978034517,-89.86150471761162
186.0,-82.09245506146183,-89.81974371962642
188.0,-81.82183532407713,-90.65586936591464
190.0,-81.95758278284248,-90.48230995949248
192.0,-81.82550383336162,-90.20162065705168
194.0,-82.27402341079713,-90.38705190243265
196.0,-82.90056254867183,-90.82483753467622
198.0,-73.8763868763432,-91.92845293397929
200.0,-71.00374720379867,-91.3538550742943
202.0,-79.1260923687699,-91.5816301488891
204.0,-84.22587923287799,-90.73149905998108
206.0,-82.24812575346763,-90.15315449568939
208.0,-82.0427759539004,-90.8536385944363
210.0,-82.95964192619017,-92.41126675265208
212.0,-84.33937740549965,-92.53661770442483
214.0,-84.92957059805829,-91.88928458708435
216.0,-84.83220547675737,-91.7398662899848
218.0,-85.15929654990387,-92.84447677072194
220.0,-85.84001529432797,-94.1080881333228
222.0,-86.3918298750038,-94.35599571272616
224.0,-86.86490815178912,-95.05974239617072
226.0,-87.305114223191,-95.69819872125515
228.0,-87.51928230685364,-97.08453392319221
230.0,-87.80998317014064,-98.53272151765579
232.0,-88.25283662938708,-98.22786941157047
234.0,-88.73535395842214,-97.97641942659986
236.0,-89.03417221251863,-99.17818375696157
238.0,-89.03692073963694,-99.8082586133612
240.0,-89.27099400446806,-99.84176164929971
242.0,-89.39857403278262,-100.12155497860248
244.0,-89.479010451019,-98.6764280548396
246.0,-88.65523819040446,-89.40139304708303
248.0,-74.90636562612153,-72.39381144323305
250.0,-72.45700365719247,-70.8069760234
252.0,-81.853269744972,-82.07784322958284
254.0,-91.46301375086321,-97.94790323973658
256.0,-91.38185213161535,-98.66516381036007
258.0,-91.26141547809817,-98.90698370051416
260.0,-91.24202465886235,-99.74827284770994
262.0,-92.19818231861208,-98.61937999222849
264.0,-92.60932931792958,-98.7090377953622
266.0,-92.75804588569157,-98.83392856681128
268.0,-93.03526709431029,-99.67814770594751
270.0,-93.36090096131956,-99.3064435205886
272.0,-93.96624622293876,-98.88474026737217
274.0,-94.2620450718766,-99.54755142539119
276.0,-94.234545498818,-99.68359349516518
278.0,-94.4208556012309,-99.88879377411833
280.0,-94.32127299483886,-100.27025706680016
282.0,-94.42843063338844,-100.56045621352324
284.0,-94.50111436774172,-99.76595472453005
286.0,-94.3737320250863,-99.89030993561846
288.0,-93.65231871509152,-100.41133632803246
290.0,-93.81531598299614,-99.62815986220733
292.0,-92.93740847355312,-99.56776175030775
